ID,adj.P.Val,pvalue,t,B,log2FoldChange,Gene_Symbol,Gene.title
201520_s_at,4.02e-08,5.48e-09,6.336946,9.7515083,0.4630584,GRSF1,G-rich RNA sequence binding factor 1
218304_s_at,4.03e-08,5.49e-09,-6.336413,9.7490327,-0.5104399,OSBPL11,oxysterol binding protein like 11
218894_s_at,4.03e-08,5.5e-09,6.336305,9.7485293,0.4402163,MAGOHB,"mago homolog B, exon junction complex core component"
220287_at,4.04e-08,5.52e-09,-6.335599,9.7452518,-0.5748426,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
212792_at,4.06e-08,5.54e-09,6.334835,9.7417008,0.8129143,DPY19L1,dpy-19 like 1
208694_at,4.06e-08,5.54e-09,6.334548,9.7403691,0.7640165,PRKDC,"protein kinase, DNA-activated, catalytic polypeptide"
202243_s_at,4.06e-08,5.55e-09,6.334397,9.7396699,0.5768394,PSMB4,proteasome subunit beta 4
201483_s_at,4.08e-08,5.57e-09,6.333484,9.7354295,0.4029326,SUPT4H1,"SPT4 homolog, DSIF elongation factor subunit"
218597_s_at,4.1e-08,5.6e-09,6.332593,9.7312903,0.547655,CISD1,CDGSH iron sulfur domain 1
208884_s_at,4.1e-08,5.6e-09,6.33225,9.7296976,0.3981412,UBR5,ubiquitin protein ligase E3 component n-recognin 5
214455_at,4.1e-08,5.61e-09,6.332048,9.7287591,0.8873613,HIST1H2BC,"histone cluster 1, H2bc///histone cluster 1, H2bi///histone cluster 1, H2be///histone cluster 1, H2bf///histone cluster 1, H2bg"
209086_x_at,4.11e-08,5.62e-09,-6.331666,9.7269885,-0.3723007,MIR6756,microRNA 6756///melanoma cell adhesion molecule
202499_s_at,4.12e-08,5.64e-09,-6.330871,9.7232951,-0.9230636,SLC2A3,solute carrier family 2 member 3
201368_at,4.14e-08,5.66e-09,-6.330114,9.7197833,-0.5223949,ZFP36L2,ZFP36 ring finger protein like 2
206012_at,4.15e-08,5.67e-09,-6.329617,9.7174745,-0.3062574,LEFTY1,left-right determination factor 1///left-right determination factor 2
219159_s_at,4.15e-08,5.68e-09,6.329512,9.7169894,0.4157544,SLAMF7,SLAM family member 7
201044_x_at,4.18e-08,5.73e-09,-6.327486,9.7075809,-0.8681754,DUSP1,dual specificity phosphatase 1
207180_s_at,4.21e-08,5.76e-09,6.326273,9.7019522,0.4755573,HTATIP2,HIV-1 Tat interactive protein 2
215165_x_at,4.21e-08,5.77e-09,6.326114,9.7012171,0.4005517,UMPS,uridine monophosphate synthetase
205158_at,4.22e-08,5.79e-09,-6.325493,9.6983349,-0.7629713,RNASE4,ribonuclease A family member 4
210759_s_at,4.23e-08,5.8e-09,6.325023,9.6961501,0.3553825,PSMA1,proteasome subunit alpha 1
216977_x_at,4.3e-08,5.9e-09,6.321363,9.679172,0.5539339,SNRPA1,small nuclear ribonucleoprotein polypeptide A'
202559_x_at,4.32e-08,5.93e-09,6.32015,9.6735404,0.3028401,CHTOP,chromatin target of PRMT1
213397_x_at,4.33e-08,5.95e-09,-6.319685,9.671387,-0.7938234,RNASE4,ribonuclease A family member 4
203959_s_at,4.33e-08,5.95e-09,-6.319496,9.6705072,-0.2525099,ZBTB40,zinc finger and BTB domain containing 40
